window,date,port_return,turnover,port_return_net,cum_return_gross,cum_return_net
2022_2024,2024-04-23,-0.0010381044953888209,0.9587786259541985,-0.0037706235793582865,3.4990509948190347,-0.618181029156427
2022_2024,2024-04-24,0.009362242675265897,0.9591397849462365,0.006628694288169123,3.5411722020409275,-0.6156500679252817
2022_2024,2024-04-25,0.011408065606175473,0.3088923556942278,0.010527722392446924,3.592978192450751,-0.6116037385388432
2022_2024,2024-04-26,0.00425020019234097,0.9500780031201248,0.0015424778834486146,3.6124992692477234,-0.6110046458955253
2022_2024,2024-04-29,-0.008109737820343023,0.7115384615384616,-0.010137622435727639,3.5750931094776,-0.6149481339246886
2022_2024,2024-04-30,0.012376592821665585,0.8639455782312925,0.009914347923706402,3.6317171740148115,-0.6111305957557456
2022_2024,2024-05-02,-0.0002527574994034648,0.18272425249169436,-0.0007735216190047937,3.630546472763964,-0.6114313946468979
2022_2024,2024-05-03,-0.0010783715748152603,0.7840531561461794,-0.003312923069831872,3.625553023071874,-0.6127186925437846
2022_2024,2024-05-06,-0.001447328079776583,0.8620689655172413,-0.003904224631500721,3.618858330297087,-0.614230725763675
2022_2024,2024-05-07,-0.0025765003361235468,1.1440677966101696,-0.00583709355646253,3.6069578402565696,-0.6164824971086011
2022_2024,2024-05-08,-0.007220625858496892,0.8663366336633663,-0.009689685264437486,3.573692721346208,-0.6201986610050217
2022_2024,2024-05-09,-0.0010664809093664115,0.18770226537216828,-0.0016014323656770911,3.5688149653735843,-0.6208068871618158
2022_2024,2024-05-10,-0.0015152024889216126,0.6456310679611651,-0.003355251032610933,3.5618922855666284,-0.622079175245225
2022_2024,2024-05-13,0.0053724421304602605,0.6282527881040892,0.0035819216843636058,3.5864007878762276,-0.6207254924480634
2022_2024,2024-05-14,0.0018479362844296757,0.8503937007874016,-0.0005756857628144191,3.594876164307081,-0.6209438353822595
2022_2024,2024-05-15,0.004677533596034062,0.8095238095238095,0.0023703907388912043,3.6163688519352437,-0.62004532416013
2022_2024,2024-05-16,0.0046834394295470596,0.5,0.0032584394295470595,3.6379893358377293,-0.6188072648629326
2022_2024,2024-05-17,-0.0032712274387472597,0.6117455138662317,-0.00501470215326602,3.62281741786172,-0.6207188328926339
2022_2024,2024-05-20,0.0035025835048662856,0.28548123980424145,0.0026889619714241973,3.639009221895531,-0.6196989602578047
2022_2024,2024-05-21,0.0035548706629032144,0.28738621586475943,0.0027358199476886502,3.6555002996833847,-0.6186585250871514
2022_2024,2024-05-22,-0.006374743652920044,0.9505851755526658,-0.009083911403245142,3.625822678696811,-0.6221225972596425
2022_2024,2024-05-23,0.017531369721351858,0.9455128205128205,0.01483665818289032,3.7069196863424594,-0.6165161594001455
2022_2024,2024-05-24,0.01065057416616793,0.2483974358974359,0.009942641473860238,3.7570510835560462,-0.6127033170620422
2022_2024,2024-05-27,0.011550827513123805,0.9860383944153578,0.008740618089040034,3.8119989600933204,-0.6093181046693295
2022_2024,2024-05-28,-0.005896326613753889,0.9630314232902033,-0.008640966170130968,3.783625842559566,-0.6126939737101644
2022_2024,2024-05-29,-0.0011182389573467278,0.22870662460567823,-0.0017700528374729107,3.778276605785045,-0.6133795258409691
2022_2024,2024-05-30,0.008948057199467247,0.11514195583596215,0.008619902625334755,3.821032898168486,-0.6100468950007574
2022_2024,2024-05-31,0.002178636889655373,0.1410459587955626,0.0017766559070880197,3.8315361782866786,-0.6093540825132733
2022_2024,2024-06-03,-0.0037437627378402024,0.901294498381877,-0.006312452058228552,3.8134480531758825,-0.6118200161391509
2022_2024,2024-06-04,-0.001698102918500189,0.9081081081081082,-0.004286211026608297,3.805274322988736,-0.6134838374662839
2022_2024,2024-06-05,-0.00453954389267,0.963963963963964,-0.007286841189967298,3.783460569283209,-0.6163003193600227
2022_2024,2024-06-06,0.0233787020756045,1.1935483870967742,0.01997708917237869,3.895291668822882,-0.6086351166244646
2022_2024,2024-06-07,-0.010536960080137074,0.9217877094972067,-0.013164055052204113,3.8437101759278676,-0.6137870654947196
2022_2024,2024-06-11,0.0030246847740324143,0.18561872909698995,0.0024956713961059927,3.8583608723468226,-0.6128232049212686
